filename,exchange,ticker,instrument,resolution,start_date,end_date,n_rows,years
NASDAQ_MSFT_1W_19860310_20260323.csv,NASDAQ,MSFT,NASDAQ_MSFT,1W,1986-03-10,2026-03-23,2090,40.0
NASDAQ_MSFT_4H_20160404_20260324.csv,NASDAQ,MSFT,NASDAQ_MSFT,4H,2016-04-04,2026-03-24,5000,10.0
NASDAQ_NDX_1D_20060509_20260324.csv,NASDAQ,NDX,NASDAQ_NDX,1D,2006-05-09,2026-03-24,5000,19.9
NASDAQ_NDX_1H_20230512_20260324.csv,NASDAQ,NDX,NASDAQ_NDX,1H,2023-05-12,2026-03-24,5000,2.9
NASDAQ_NDX_1W_19850128_20260323.csv,NASDAQ,NDX,NASDAQ_NDX,1W,1985-01-28,2026-03-23,2148,41.1
NASDAQ_NDX_4H_20160330_20260324.csv,NASDAQ,NDX,NASDAQ_NDX,4H,2016-03-30,2026-03-24,5000,10.0
NASDAQ_NVDA_1D_20060509_20260324.csv,NASDAQ,NVDA,NASDAQ_NVDA,1D,2006-05-09,2026-03-24,5000,19.9
NASDAQ_NVDA_1H_20230512_20260324.csv,NASDAQ,NVDA,NASDAQ_NVDA,1H,2023-05-12,2026-03-24,5000,2.9
NASDAQ_NVDA_1W_19990118_20260323.csv,NASDAQ,NVDA,NASDAQ_NVDA,1W,1999-01-18,2026-03-23,1419,27.2
NASDAQ_NVDA_4H_20160401_20260324.csv,NASDAQ,NVDA,NASDAQ_NVDA,4H,2016-04-01,2026-03-24,5000,10.0
NASDAQ_TSLA_1D_20100629_20260324.csv,NASDAQ,TSLA,NASDAQ_TSLA,1D,2010-06-29,2026-03-24,3958,15.7
NASDAQ_TSLA_1H_20230512_20260324.csv,NASDAQ,TSLA,NASDAQ_TSLA,1H,2023-05-12,2026-03-24,5000,2.9
NASDAQ_TSLA_1W_20100628_20260323.csv,NASDAQ,TSLA,NASDAQ_TSLA,1W,2010-06-28,2026-03-23,822,15.7
NASDAQ_TSLA_4H_20160401_20260324.csv,NASDAQ,TSLA,NASDAQ_TSLA,4H,2016-04-01,2026-03-24,5000,10.0
NYSE_ABBV_1D_20121210_20260324.csv,NYSE,ABBV,NYSE_ABBV,1D,2012-12-10,2026-03-24,3341,13.3
NYSE_ABBV_1H_20230512_20260324.csv,NYSE,ABBV,NYSE_ABBV,1H,2023-05-12,2026-03-24,5000,2.9
NYSE_ABBV_1W_20121210_20260323.csv,NYSE,ABBV,NYSE_ABBV,1W,2012-12-10,2026-03-23,694,13.3
NYSE_ABBV_4H_20160331_20260324.csv,NYSE,ABBV,NYSE_ABBV,4H,2016-03-31,2026-03-24,5000,10.0
NYSE_BAC_1D_20060509_20260324.csv,NYSE,BAC,NYSE_BAC,1D,2006-05-09,2026-03-24,5000,19.9
